Value,Definition
agriculture/food,"Paper's findings or argument centrally concern farming as activity, food as a system, or agricultural production/distribution as the substantive subject. Positive cases: farming-system analyses (production methods, crops, livestock, agro-ecology as theoretical/political contribution); food security or food sovereignty as political-economic contributions; agricultural markets, trade, or labor analyzed as their own subject; smallholder/peasant livelihoods centered on agricultural practice; urban or regenerative agriculture as the focus; food provisioning analyzed as social practice. Be selective. The mere presence of agricultural vocabulary in the abstract is not sufficient — many rural-geography papers touch farming context without being about agriculture or food. Anti-pattern phrasings: 'land-use change' as a setting (the paper is about land transitions, not farming); 'agrarian reform / agrarian law' as legal-political backdrop without analyzing agriculture itself; 'agricultural trade' or 'agricultural region' used as data source / sample stratum for a study whose subject is inequality, identity, governance, or environment; 'rural land' or 'rural areas' generally; 'agriculture' or 'farm' in title alongside an analytical focus that is elsewhere (identity, place, governance, environment); papers about plantations, ranching, or rural livelihoods whose central analytical contribution is about race, labor, or power rather than the agricultural system. The test: 'Could this paper transfer to a non-agricultural rural domain — mining, fisheries, manufacturing, tourism, services — without losing its central contribution?' If yes, agriculture/food isn't the central subject."
place-based study,"Paper's findings or argument centrally concern a single specific site or a few specific sites — a heritage site, village, town, region — treated as a substantive subject of the analysis. Positive cases: place-attachment studies; landscape perception of a specific site; ethnography of a single community; history of a single village or region; sense-of-place or place-identity research about specific named places; heritage-site studies. Be selective. The mere presence of a named location in the abstract is not sufficient: many empirical papers are situated somewhere without being place-based studies. Phrasings like 'a study of [phenomenon] in [town]' or 'we use the case of [town] to explore [phenomenon]' usually indicate the location is the empirical setting, not the substantive subject — in those cases the paper is generally about the phenomenon, not the location. Tag place-based study when the analysis depends on the specifics of that location (its history, its landscape, its community, its trajectory); be cautious when the location is largely interchangeable with similar locations elsewhere. NARROW TIE-BREAKER (applies only on borderline ambiguity): if the abstract names a SPECIFIC ETHNIC, INDIGENOUS, OR DIASPORIC GROUP by a distinctive cultural/ethnonym (e.g. Mongolian Kazakh, Hmong, Quechua, Bedouin, Quilombola, Aymara, Hispano, settler/Indigenous in a named region) AND the abstract describes their identity-formation, homeland relationship, attachment, displacement, or community-internal dynamics as the substantive concern, lean toward INCLUDING place-based study even if the abstract does not unambiguously confirm the site is the subject. THIS RULE IS NARROW: it does NOT apply to papers that merely name a country, state, district, or town (e.g. 'in Ghana', 'in California', 'in rural Bangladesh') without identifying a culturally-distinctive community as the analytical focus. Papers naming a region as the empirical setting for a phenomenon (e.g. 'water access in Suhum District', 'voter power in US states') do NOT qualify and should still NOT be tagged. The tie-breaker is a narrow exception for ethnographic / diasporic / community-identity work whose abstract is signal-poor on the subject-vs-setting question."
scale/location,"Paper's central contribution is about geographic relations themselves — the relationship between scales, the role of distance, the geography of rural-urban transitions, the spatial dimension of a phenomenon treated as the analytical contribution. Positive cases: rural-urban gradient analyzed as a theoretical contribution (not merely as a sample stratification); cross-scale dynamics where the relationship between scales is itself the finding; modifiable areal unit problem (MAUP) studies; theory of global-local or regional relationships; analyses where remoteness, distance, or borders are the explanatory variable. Be selective. The mere presence of geographic vocabulary (spatial, scale, location, rural/urban, regional, geographic) is not sufficient — gemma should not tag scale/location for every paper that uses such vocabulary descriptively. Anti-pattern phrasings: 'spatial biases in [non-geographic phenomenon such as voting, sentiment, prevalence]', 'the geography of [phenomenon]' used as a descriptor of variation, 'comparing across regions / countries / sites' without theorizing the comparison, 'in different places' or 'in different country contexts' as a generality claim, 'rural and urban areas' used as sample strata. The test: could the paper's argument transfer to a non-spatial analog — a temporal change, a hierarchical level, a demographic comparison? If yes, the contribution is about the phenomenon, not about geography, and scale/location is at most a secondary tag. If a single specific place is the substantive subject of the analysis in its own right, see place-based study instead."
physical geography,"Paper's central focus is on a dimension of the earth system, physical environment, or atmosphere as the substantive subject. Positive cases — earth and ecosystem: soils, hydrology, marine or freshwater ecosystems, geomorphology, vegetation, forests, wildlife, deserts; landscape, earth, or ecosystem change empirically documented as the main object of analysis. Atmospheric and short-term meteorological: weather events, weather prediction, El Niño / La Niña, short-term atmospheric phenomena. Climate and discrete hazard events: climate change (science, impacts, mitigation, adaptation, resilience), flooding, drought, hurricanes, tornadoes, cyclones, earthquakes, tsunamis; geological hazards belong here even when unrelated to climate. Human impact may be implied or empirically documented, but the physical system is the main object of analysis. Be selective. The mere presence of environmental, weather, or climate vocabulary in the abstract is not sufficient — many rural-geography papers touch physical context without being about it. Anti-pattern phrasings: 'environment' used as setting or backdrop; 'climate' as one variable among many in a livelihoods / inequality / governance study; 'flood-prone area' or 'drought-affected region' as sample stratum for a study whose central concern is identity, governance, or social power; 'climate adaptation policy' analyzed primarily as policy/governance rather than as a physical-system response. The test: 'Could this paper transfer to a non-physical-environmental rural domain — markets, identity, governance, infrastructure — without losing its central contribution?' If yes, physical geography isn't the central subject. If the paper centrally theorizes how humans and the physical environment shape each other (political ecology, nature-society theory), see human-environment instead — though tag both if human dimensions are also a finding."
human-environment,"Paper's analytical frame is the relationship between society and the physical environment, between humans and non-humans, or between humans and more-than-humans — the human-environment relationship is itself the substantive subject of analysis. Positive cases: political ecology where the political-ecology framing is the analytical contribution; environmental history; eco-philosophy; nature-society theory; animal or plant geographies as theoretical contributions; explicit theorizing of human-nonhuman relations; analyses where the boundary between human and environment is itself the subject; environmental degradation analyzed through a political-economic or theoretical lens; multispecies or more-than-human framings. Be selective. The mere co-occurrence of human and environmental vocabulary is NOT sufficient — the paper must theorize the relationship as its analytical contribution. Many rural-geography papers touch environment as setting, backdrop, impact, or pretext without being about the human-environment relation. Anti-pattern phrasings (do NOT tag human-environment for these): (a) climate or hazard impacts on humans described as causal facts without theorizing the relationship (those belong under physical geography plus whatever describes the human dimension); (b) 'environment' used to mean 'setting' or 'surrounding context'; (c) 'environmental concerns' / 'environmental consequences' / 'ecological impacts' mentioned as one factor in a public-opinion, governance, or policy study (the contribution is about opinion, governance, or policy, NOT about the human-environment relation); (d) resource or land-use analyses that document conversion without theorizing the human-nonhuman relationship; (e) 'land-use change' or 'land-cover change' as a description of what happened rather than as a society-environment frame; (f) settler-irrigation or water-governance papers where the contribution is about race, citizenship, or power rather than nature-society theory (e.g. analyses of whiteness, settler colonialism, or gendered access to land via environmental programs); (g) agro-ecology, agro-food, or agrarian-populism papers where the contribution is about agricultural movements, food systems, or rural politics (those are agriculture/food + governance + social power); (h) mentions of 'human-environment models' or 'human-environment systems' as part of a methods or literature description rather than as the paper's analytical frame; (i) vandalism, conservation, heritage, or rural-perception studies that are about policing, governance, visitor management, or visual representation rather than nature-society relations; (j) 'environmental intervention' or 'environmental program' analyzed primarily for its political or distributional effects (those are governance + social power). NARROW TIE-BREAKER #1 — community-resource dependence (applies only on borderline ambiguity): when the paper centrally analyzes how a specific community DEPENDS ON, USES, or is SHAPED BY a specific natural resource or ecosystem (forest livelihoods, fisheries dependence, household-environment dynamics, biodiversity-and-livelihood tradeoffs, water-community relations, soil-and-cultivation practice as substantive subject) AND the human-environment relation is the analytical concern — even when the abstract ALSO emphasizes governance, social power, development outcomes, or policy context — lean toward INCLUDING human-environment. THIS RULE IS NARROW: it does NOT apply to papers that merely use a natural resource as a sample stratum or geographic setting (e.g. 'we surveyed farmers in [forested region]' without analyzing forest-livelihood dynamics); it does NOT override anti-pattern (f) for settler-irrigation/whiteness papers or anti-pattern (g) for agrarian-populism papers. NARROW TIE-BREAKER #2 — climate / hazard resilience and community engagement (applies only on borderline ambiguity): when the paper analyzes community RESPONSES to climate, weather, or hazard events through a RESILIENCE, ADAPTATION, or COMMUNITY-ENGAGED-RESEARCH lens that treats the human-environment relationship as the substantive subject (not just policy implementation, not just impact description), lean toward INCLUDING human-environment. THIS RULE IS NARROW: it does NOT apply to papers about climate POLICY adoption, ADAPTATION GOVERNANCE, or COMPENSATION PROGRAMS (those are governance + social power); it does NOT apply to descriptive impact reporting without a community-engagement or nature-society frame. NARROW TIE-BREAKER #3 — recreation and leisure landscape engagement (applies only on borderline ambiguity): when the paper centrally analyzes humans' use of landscapes for leisure or tourism — outdoor recreation economies, second-home dynamics, cottage and rural-recreational property dynamics, tourist-driven landscape change, recreational land use as a contested category — AND the abstract treats the human-landscape engagement as the substantive subject (rather than as economic activity, industry, or revenue source), lean toward INCLUDING human-environment. THIS RULE IS NARROW: tourism analyzed purely as an industry, employment sector, or revenue source belongs under social power or governance instead, not here. The test: 'Is the paper's argument framed as nature-society theory, political ecology, an analogous human-nonhuman analytical lens, OR an analysis of community-resource dependence / resilience / leisure engagement — such that REMOVING the human-environment dimension would collapse the paper's contribution?' If the same argument could be made about a non-environmental domain (governance, identity, mobility, infrastructure, market dynamics) without losing its central contribution, human-environment is at most a secondary tag, and usually should not be tagged. Does not include papers on property or property law."
built environment,"Physical infrastructure, the human-made material world, digital/communications infrastructure, energy systems, and the systems that mediate society's relation to space and resources. The label applies broadly, beyond explicit ""buildings"" language. Tag when a built object, infrastructure system, digital/communications system, energy system, or material configuration is meaningfully part of the paper's analysis, including when it serves as the medium through which other arguments (race, governance, social power, health, identity) are advanced. Positive cases — infrastructure systems: water and irrigation infrastructure (settler irrigation systems, water access systems, plumbing, drinking water systems, drainage and stream alterations); electrical and energy infrastructure (electrification, electric power, rural electrification, electric grids); transportation networks (roads, railroads, ports, public transit); housing and shelter systems. Energy systems and sources: oil, gas, electricity generation, solar, wind, biofuels, wood heat, ethanol, geothermal, mining, energy transitions; wind farms, solar farms, petroleum infrastructure. Digital and communications systems: internet access, broadband, mobile phones, AI, smart systems, social media; precision agriculture technology; remote sensing as a tool of governance or power; rural technology access or exclusion. Built form and material geographies: gentrification and displacement; urban and rural built form; urbanization as built process; landscape transformation by construction or land conversion; heritage and built-heritage sites. Material objects and processes analyzed as substantive subject: dams, bridges, levees, factories, mines as built infrastructure. Positive-pattern phrasings: 'irrigation systems', 'water infrastructure', 'electrification', 'electric grid', 'drinking water systems', 'transportation networks', 'urban built form', 'rural built form', 'gentrification', 'housing access', 'material geographies', 'broadband access', 'digital divide', 'smart rural', 'solar farm', 'wind farm', 'energy transition'. NOTE: built environment and human-environment often co-occur — infrastructure mediates the society-environment relationship. If a paper analyzes how an infrastructure or energy system shapes both material conditions AND nature-society relations, tag BOTH. Similarly, built environment papers often pair with social power (infrastructure-driven inequality) or governance (infrastructure regulation) — these are NOT mutually exclusive. The negative case: do not tag when infrastructure, energy, or technology vocabulary appears only as scene-setting backdrop without analytical weight (e.g. a paper that simply says 'in a rural town' or 'using mobile-phone data' without further treatment)."
social power,"Papers whose argument centrally concerns inequality, justice (social, environmental, spatial), poverty, health disparities, economic livelihoods, community development, just transitions, or economic resilience. Covers both critique of power structures and policy responses to them."
mobility,"Human movement and population dynamics are a central subject: migration, displacement, refugee resettlement, immobility, urbanization, climate migration, or demographic change. Tag when movement (or its absence) is theorized or empirically studied, not merely reported as context."
identity,"Social identity categories are a central analytical lens or empirical focus. The label applies broadly, beyond explicit gender/race/ethnicity language. Tag when the paper centers a group's experience, situation, or perspective as something distinct, including: (a) demographic identities — gender, race, ethnicity, caste, sexuality, religion, age; (b) economic and occupational group identities treated as substantive social categories — peasants, smallholders, farmers, farmworkers, fishers, miners, ranchers, traders, domestic workers, indigenous food producers; (c) politico-legal status identities — citizens vs migrants vs refugees, hukou-registered urban vs rural, settler vs Indigenous, formal vs informal sector workers, documented vs undocumented; (d) class-based identities — working class, peasantry, subaltern groups, marginalized communities; (e) rural identity as a substantive category — when the paper analyzes what being rural means, who counts as rural, the politics of rurality, rural-as-belonging (NOT merely rural as setting); (f) insider/outsider dynamics, in-group/out-group boundaries. Positive-pattern phrasings: 'this article examines the experience of [group]', 'we analyze how [group] differs from...', 'the role of [group] in [phenomenon]', 'the lives and practices of [group]', 'centering [group]'s perspective on...'. NOTE: identity and social power frequently co-occur and are NOT mutually exclusive. If a paper centrally concerns a group's experience of inequality or marginalization, tag BOTH identity (for the group-as-category) AND social power (for the inequality dynamics). Do not tag when a group appears only as a sample descriptor without analytical centering."
governance,"Paper's central analytical contribution is about a political institution, policy, or collective-action arrangement treated as an object of analysis in itself. Positive cases: policy design or critique where the policy itself is the subject; political institutions or regimes analyzed as systems; social movements analyzed as collective action (their organization, tactics, mobilization, fracturing); citizenship debates or property-regime analyses; government program implementation studied as institutional dynamics; conservation governance arrangements analyzed as governance; resistance, protest, or political mobilization as the analytical focus. Be selective. Rural geography papers routinely touch policy contexts without being about governance — the lexical presence of policy-adjacent vocabulary is not sufficient. Anti-pattern phrasings: 'rural development strategy / programs / interventions' as framing; 'sustainable development' or 'sustainable rural development' as backdrop; 'policy implications' or 'recommendations for policy' as a value statement at the end; 'institutions' mentioned without being analyzed; 'intervention' used to describe what was done to the studied group rather than to analyze the governance of intervention design; mentions of 'monitoring', 'policing', 'planners', 'planning' as practical descriptions; 'land ownership patterns' or 'property' as descriptive demographic variables (rather than property regimes analyzed as governance); 'state', 'government', 'reforms' used to scene-set economic or social transitions. The test: 'Could this paper's argument transfer to a private-sector or self-organized analog (no state, no policy, no formal institutions)?' If yes, the contribution is about the substantive domain (livelihoods, identity, environment, infrastructure, technology), not about governance. Tag governance only when removing the political-institutional dimension would collapse the paper's contribution."
