Value,Definition
agriculture/food,"Paper’s findings or argument centrally concern farming systems, food production or distribution, food security, agricultural markets, food sovereignty, the right to farm, urban agriculture, regenerative agriculture, agro-ecology."
place-based study,"Paper's findings or argument centrally concern a single specific site or a few specific sites — a heritage site, village, town, region — treated as a substantive subject of the analysis. Positive cases: place-attachment studies; landscape perception of a specific site; ethnography of a single community; history of a single village or region; sense-of-place or place-identity research about specific named places; heritage-site studies. Be selective. The mere presence of a named location in the abstract is not sufficient: many empirical papers are situated somewhere without being place-based studies. Phrasings like 'a study of [phenomenon] in [town]' or 'we use the case of [town] to explore [phenomenon]' usually indicate the location is the empirical setting, not the substantive subject — in those cases the paper is generally about the phenomenon, not the location. Tag place-based study when the analysis depends on the specifics of that location (its history, its landscape, its community, its trajectory); be cautious when the location is largely interchangeable with similar locations elsewhere."
scale/location,"Paper's central contribution is about geographic relations themselves — the relationship between scales, the role of distance, the geography of rural-urban transitions, the spatial dimension of a phenomenon treated as the analytical contribution. Positive cases: rural-urban gradient analyzed as a theoretical contribution (not merely as a sample stratification); cross-scale dynamics where the relationship between scales is itself the finding; modifiable areal unit problem (MAUP) studies; theory of global-local or regional relationships; analyses where remoteness, distance, or borders are the explanatory variable. Be selective. The mere presence of geographic vocabulary (spatial, scale, location, rural/urban, regional, geographic) is not sufficient — gemma should not tag scale/location for every paper that uses such vocabulary descriptively. Anti-pattern phrasings: 'spatial biases in [non-geographic phenomenon such as voting, sentiment, prevalence]', 'the geography of [phenomenon]' used as a descriptor of variation, 'comparing across regions / countries / sites' without theorizing the comparison, 'in different places' or 'in different country contexts' as a generality claim, 'rural and urban areas' used as sample strata. The test: could the paper's argument transfer to a non-spatial analog — a temporal change, a hierarchical level, a demographic comparison? If yes, the contribution is about the phenomenon, not about geography, and scale/location is at most a secondary tag. If a single specific place is the substantive subject of the analysis in its own right, see place-based study instead."
natural environment,"The central focus on the paper is on the functioning of a dimension of an earth system or physical environment such as soils, hydrology, marine or freshwater ecosystems, geomorphology, vegetation, forests, wildlife, deserts and where human impact may be implied but is not the central concern or agent. Tag when landscape, earth, or ecosystem change is empirically documented and is the main object of analysis."
weather,"Paper focuses on meteorological systems, weather events, weather prediction, or short-term atmospheric phenomena (El Niño, La Niña) as the primary subject. Do not use for long-term climate trends — see climate and natural hazards."
climate and natural hazards,"Paper focuses on climate change (science, impacts, mitigation, adaptation), climate resilience, or discrete hazard events including flooding, drought, hurricanes, tornadoes, cyclones, earthquakes, or tsunamis. Geological hazards belong here even when unrelated to climate. Tag alongside human-environment if human dimensions are also a finding."
human-environment,"The analytical frame is the relationship between society and the physical environment or between humans and non-humans or human and more-than-human. It includes political ecology, environmental history, eco-philosophy, nature-society theory, animal and plant geographies, impact of environmental degradation or health on humans, and impact of humans on environmental health or degradation. It can include theories on how humans understand the non-human. It does not include papers on property or property law."
built environment,"Physical infrastructure and the human-made material world: housing, roads, bridges, dams, transportation networks, drinking water systems, gentrification, urban or rural built form, and material geographies. Tag when the built object or system is a central subject, not merely a setting."
technology,"Digital, communications, or information technology is a central subject or finding: internet access, broadband, mobile phones, AI, smart systems, social media. Also includes precision agriculture technology, remote sensing as a tool of governance or power, and rural technology access or exclusion."
energy,"Energy systems, sources, or infrastructure are a central subject: oil, gas, electricity generation, solar, wind, biofuels, wood heat, ethanol, geothermal, mining, or energy transitions. Tag when energy is the focus, not when it appears incidentally."
social power,"Papers whose argument centrally concerns inequality, justice (social, environmental, spatial), poverty, health disparities, economic livelihoods, community development, just transitions, or economic resilience. Covers both critique of power structures and policy responses to them."
recreation,"Tourism, recreational land use, second homes, outdoor recreation economies, or tourist-driven landscape change are the primary focus."
mobility,"Human movement and population dynamics are a central subject: migration, displacement, refugee resettlement, immobility, urbanization, climate migration, or demographic change. Tag when movement (or its absence) is theorized or empirically studied, not merely reported as context."
identity,"Social identity categories are a central analytical lens or empirical focus. The label applies broadly, beyond explicit gender/race/ethnicity language. Tag when the paper centers a group's experience, situation, or perspective as something distinct, including: (a) demographic identities — gender, race, ethnicity, caste, sexuality, religion, age; (b) economic and occupational group identities treated as substantive social categories — peasants, smallholders, farmers, farmworkers, fishers, miners, ranchers, traders, domestic workers, indigenous food producers; (c) politico-legal status identities — citizens vs migrants vs refugees, hukou-registered urban vs rural, settler vs Indigenous, formal vs informal sector workers, documented vs undocumented; (d) class-based identities — working class, peasantry, subaltern groups, marginalized communities; (e) rural identity as a substantive category — when the paper analyzes what being rural means, who counts as rural, the politics of rurality, rural-as-belonging (NOT merely rural as setting); (f) insider/outsider dynamics, in-group/out-group boundaries. Positive-pattern phrasings: 'this article examines the experience of [group]', 'we analyze how [group] differs from...', 'the role of [group] in [phenomenon]', 'the lives and practices of [group]', 'centering [group]'s perspective on...'. NOTE: identity and social power frequently co-occur and are NOT mutually exclusive. If a paper centrally concerns a group's experience of inequality or marginalization, tag BOTH identity (for the group-as-category) AND social power (for the inequality dynamics). Do not tag when a group appears only as a sample descriptor without analytical centering."
governance,"Papers that have a central focus on political systems, institutions or collective action such as policy, zoning, property, planning, conservation governance, social movements, government programs. citizenship, political resistance, international development organizations and their mandates. Does not include papers that only mention policy implications or practical implications as a way to name the relevance of the work."
methods,"The central purpose of the paper is to communicate a new research method or a new dimension of an existing research method.  A paper that reports on a new method but whose central message is to report on a phenomemon is not a methods paper."
emotion,"Affect, emotion, or psychological dimensions of human-environment or human-place relations are a central subject: place attachment, nostalgia, care, fear, wellbeing, heritage, or behavioral responses to environmental change."
